tweet_id,retweet_count,favorite_count
828408677031882754,1297,7694
828381636999917570,2222,12611
828376505180889089,1076,7391
828372645993398273,2941,12602
828361771580813312,173,2200
828046555563323392,2881,11770
828011680017821696,2154,10382
827933404142436356,5263,20163
827653905312006145,3030,15548
827600520311402496,950,7472
827324948884643840,3058,15899
827199976799354881,2227,10609
826958653328592898,5020,21639
826848821049180160,10207,36483
826615380357632002,4003,0
826598799820865537,253,5135
826598365270007810,2351,10092
826476773533745153,4210,18471
826240494070030336,2623,13351
826204788643753985,929,4898
826115272272650244,3137,15706
825876512159186944,1882,10527
825829644528148480,2501,12793
825535076884762624,17634,57113
825147591692263424,4570,18378
825120256414846976,1264,0
825026590719483904,1264,6337
824796380199809024,5521,0
824775126675836928,3532,14979
824663926340194305,1783,10577
824325613288833024,10578,11894
824297048279236611,3886,15129
824025158776213504,603,4856
823939628516474880,2723,10680
